,Unnamed: 0,STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
56,440,Alabama,http://adph.org/influenza/,Influenza Surveillance,7,Moderate,2024-03-02,9,2023-24
57,444,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-02,9,2023-24
58,449,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,6,Moderate,2024-03-02,9,2023-24
59,458,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,7,Moderate,2024-03-02,9,2023-24
60,468,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",3,Minimal,2024-03-02,9,2023-24
61,471,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,11,Very High,2024-03-02,9,2023-24
62,483,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,6,Moderate,2024-03-02,9,2023-24
63,495,Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Low,2024-03-09,10,2023-24
64,499,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-09,10,2023-24
65,504,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,5,Low,2024-03-09,10,2023-24
66,513,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,6,Moderate,2024-03-09,10,2023-24
67,523,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-03-09,10,2023-24
68,526,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-09,10,2023-24
69,538,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,5,Low,2024-03-09,10,2023-24
70,550,Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Low,2024-03-16,11,2023-24
71,554,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-16,11,2023-24
72,559,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,4,Low,2024-03-16,11,2023-24
73,568,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,5,Low,2024-03-16,11,2023-24
74,578,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-03-16,11,2023-24
75,581,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-16,11,2023-24
76,593,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,3,Minimal,2024-03-16,11,2023-24
77,605,Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Low,2024-03-23,12,2023-24
78,609,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-03-23,12,2023-24
79,614,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,4,Low,2024-03-23,12,2023-24
80,623,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,5,Low,2024-03-23,12,2023-24
81,633,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-03-23,12,2023-24
82,636,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-23,12,2023-24
83,648,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,2,Minimal,2024-03-23,12,2023-24
84,660,Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Minimal,2024-03-30,13,2023-24
85,664,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-03-30,13,2023-24
86,669,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,3,Minimal,2024-03-30,13,2023-24
87,678,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,4,Low,2024-03-30,13,2023-24
88,688,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-03-30,13,2023-24
89,691,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,9,High,2024-03-30,13,2023-24
90,703,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,2,Minimal,2024-03-30,13,2023-24
91,715,Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Minimal,2024-04-06,14,2023-24
92,719,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-06,14,2023-24
93,724,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-06,14,2023-24
94,733,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,3,Minimal,2024-04-06,14,2023-24
95,743,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-06,14,2023-24
96,746,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-06,14,2023-24
97,758,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-06,14,2023-24
98,770,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-13,15,2023-24
99,774,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-13,15,2023-24
100,779,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-13,15,2023-24
101,788,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,2,Minimal,2024-04-13,15,2023-24
102,798,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-13,15,2023-24
103,801,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-13,15,2023-24
104,813,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-13,15,2023-24
105,825,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-20,16,2023-24
106,829,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-20,16,2023-24
107,834,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-20,16,2023-24
108,843,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-20,16,2023-24
109,853,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-04-20,16,2023-24
110,856,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,5,Low,2024-04-20,16,2023-24
111,868,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-20,16,2023-24
112,880,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-27,17,2023-24
113,884,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-27,17,2023-24
114,889,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-27,17,2023-24
115,898,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-27,17,2023-24
116,908,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-27,17,2023-24
117,911,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,4,Low,2024-04-27,17,2023-24
118,923,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-27,17,2023-24
